SAMPN,RECMode,RETMode,CTFIP,BIN,GTYPE,STYPE,ILANG,RESTY,HHSIZ,LTELE,HHLNG,O_HHLNG,INCOM,DOW,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,HTRIPS,HTRIPS_GPS,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,HH_WHT2,GEO_GROUP1,GEO_GROUP2,GEO_GROUP3,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC,HTRIPS_V,HTRIPS_T,HTRIPS_NM,HTRIPS_O,HTRIPS_WP,HTRIPS_NWP,HTRIPS_GPS_V,HTRIPS_GPS_T,HTRIPS_GPS_NM,HTRIPS_GPS_O,HTRIPS_GPS_WP,HTRIPS_GPS_NWP
3000056,1,3,9001,1,2,1,1,1,6,1,1,,5,3,3,4,4,4,2,24,25.93,1,1510,BROOKFIELD,,Brookfield town,CT,06804,2626,9001205100,1846.73,6,4,3,4,3,3,1,22,2,0,0,6,18,24.1,1.83,0,0,4.47,21.46
3000128,2,1,36027,14,2,1,1,1,5,1,1,,4,4,2,3,3,3,2,8,6.84,1,178.2,RED HOOK,RED HOOK VILLAGE,Red Hook town,NY,12571,2438,36027150006,384.33,5,3,2,4,2,2,1,4,4,0,0,2,6,3.18,3.66,0,0,1.5,5.33
3000139,2,2,34027,17,2,1,1,1,2,1,1,,99,2,2,0,0,2,0,0,0,1,236.125,LAKE HOPATCONG,,Jefferson township,NJ,07849,3157,34027044701,249.28,9,5,4,2,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3000146,1,1,34027,20,2,1,1,1,1,1,1,,5,2,1,0,1,1,0,5,7.15,1,170.47059,MORRIS PLAINS,,Parsippany-Troy Hills township,NJ,07950,3172,34027041601,55.63,9,5,4,1,3,1,4,5,0,0,0,2,3,7.15,0,0,0,2.86,4.29
3000157,2,2,34017,19,2,1,2,2,1,1,2,,1,3,0,0,0,0,0,4,3.61,1,115.73333,NORTH BERGEN,,North Bergen township,NJ,07047,2852,34017014502,50.06,8,5,4,1,1,0,6,2,2,0,0,0,4,1.61,2,0,0,0,3.61
3000239,2,2,36087,21,2,1,1,1,2,1,1,,99,5,1,0,0,2,0,0,0,1,62.48485,SUFFERN,POMONA VILLAGE,Ramapo town,NY,10901,2284,36087011501,59.24,4,3,1,2,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3000250,2,2,36059,18,2,1,1,2,1,1,1,,3,2,1,0,0,1,0,6,5.55,1,226,LONG BEACH,LONG BEACH CITY,Long Beach city,NY,11561,1799,36059416802,291.36,3,2,1,1,2,1,6,4,0,2,0,0,6,3.6,0,1.95,0,0,5.55
3000275,2,2,36059,5,2,1,1,1,2,2,1,,4,4,1,0,0,2,0,4,3.23,1,615.25,VALLEY STREAM,VALLEY STREAM VILLAGE,Hempstead town,NY,11580,1733,36059410600,356.03,3,2,1,2,2,1,6,4,0,0,0,0,4,3.23,0,0,0,0,3.23
3000296,2,2,36047,3,2,1,1,2,1,1,1,,1,4,0,0,0,0,0,0,0,1,1325,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11225,1285,36047080200,1440.87,2,1,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000403,2,2,36081,4,2,1,1,2,1,1,1,,2,4,0,0,0,1,0,2,1.61,1,381,NEW YORK,NEW YORK CITY,Queens borough,NY,11377,377,36081029300,557.52,2,1,1,1,1,0,6,2,0,0,0,0,2,1.61,0,0,0,0,1.61
3000407,2,3,34021,16,2,1,1,1,2,1,1,,6,4,2,0,2,2,0,5,5.8,1,132.45455,PRINCETON,,Princeton township,NJ,08540,3581,34021004203,63.59,12,6,5,2,4,2,2,5,0,0,0,4,1,5.8,0,0,0,4.36,1.43
3000448,2,3,34023,12,2,1,1,1,3,1,1,,7,4,5,0,3,3,0,9,10.48,1,360,OLD BRIDGE,OLD BRIDGE CDP,Old Bridge township,NJ,08857,3218,34023007805,169.38,9,5,4,3,4,3,2,7,2,0,0,6,3,7.58,2.9,0,0,7.27,3.21
3000451,1,2,36103,16,2,1,1,1,4,1,1,,3,1,1,3,0,1,3,29,46.56,1,292.2,SAYVILLE,SAYVILLE CDP,Islip town,NY,11782,2000,36103147802,613.83,3,2,1,4,2,1,6,23,6,0,0,0,29,41.05,5.51,0,0,0,46.56
3000486,2,3,36119,14,2,1,1,2,2,1,1,,7,2,2,0,1,2,0,6,6.71,1,196.83333,HARTSDALE,HARTSDALE CDP,Greenburgh town,NY,10530,2160,36119010804,92.44,4,3,1,2,4,2,4,6,0,0,0,2,4,6.71,0,0,0,1.5,5.21
3000490,2,2,36061,6,2,1,1,2,1,1,1,,3,3,0,0,0,0,0,0,0,1,101.64516,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10034,278,36061029500,607.28,1,1,1,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000498,2,2,36081,12,2,1,1,1,2,1,1,,3,4,0,0,0,2,0,0,0,1,166.33333,NEW YORK,NEW YORK CITY,Queens borough,NY,11428,697,36081056600,376.35,2,1,1,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000552,2,2,34029,20,1,1,1,1,2,1,1,,4,4,2,0,0,2,0,7,7,1,156.69231,TOMS RIVER,TOMS RIVER CDP,Toms River township,NJ,08753,3289,34029723200,198.42,10,5,4,2,2,2,6,7,0,0,0,0,7,7,0,0,0,0,7
3000568,2,2,9001,1,2,1,1,1,4,1,1,,4,4,2,2,1,2,2,7,6.86,1,346.5,DANBURY,DANBURY CITY,Danbury town,CT,06811,2637,9001210900,298.48,6,4,3,4,2,2,3,7,0,0,0,2,5,6.86,0,0,0,1.46,5.39
3000598,2,3,34017,18,2,1,1,2,1,1,1,,2,2,0,0,0,0,0,0,0,1,178,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,07307,2748,34017000200,222.59,8,5,4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000614,2,1,34025,14,2,1,1,1,3,1,1,,5,3,3,1,3,3,0,9,11.52,1,519.33333,WEST LONG BRANCH,WEST LONG BRANCH BOROUGH,West Long Branch borough,NJ,07764,3281,34025806202,310.41,10,5,4,3,3,3,2,9,0,0,0,9,0,11.52,0,0,0,11.52,0
3000616,2,2,36061,20,2,1,1,2,1,1,1,,4,4,1,0,1,1,0,0,0,1,49.0566,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10075,193,36061013800,217.66,1,1,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0
3000636,2,2,34041,17,2,1,1,1,3,1,1,,7,3,3,0,3,3,0,12,16.77,1,228.61538,HACKETTSTOWN,BEATTYSTOWN CDP,Mansfield township,NJ,07840,3356,34041031500,160.85,11,5,4,3,4,3,2,10,2,0,0,6,6,13.87,2.9,0,0,5.87,10.9
3000678,2,2,34013,6,2,1,1,1,2,1,1,,3,2,1,1,0,1,0,7,5.86,1,622.5,EAST ORANGE,EAST ORANGE CITY,East Orange city,NJ,07018,3014,34013011600,425.01,8,5,4,2,2,1,6,0,1,6,0,0,7,0,1,4.86,0,0,5.86
3000686,2,2,36047,8,2,1,1,2,1,1,1,,1,4,0,0,0,0,0,0,0,1,508.25,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11214,1330,36047029600,181.43,2,1,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
