,SAMPN,STYPE,CTFIP,INCOM_R,DOW,HHVEH
0,3000056,1,9001,3,3,3
1,3000128,1,36027,2,4,2
2,3000139,1,34027,9,2,2
3,3000146,1,34027,3,2,1
4,3000157,1,34017,1,3,0
5,3000239,1,36087,9,5,1
6,3000250,1,36059,2,2,1
7,3000275,1,36059,2,4,1
8,3000296,1,36047,1,4,0
9,3000403,1,36081,1,4,0
10,3000407,1,34021,4,4,2
11,3000448,1,34023,4,4,5
12,3000451,1,36103,2,1,1
13,3000486,1,36119,4,2,2
14,3000490,1,36061,2,3,0
15,3000498,1,36081,2,4,0
16,3000552,1,34029,2,4,2
17,3000568,1,9001,2,4,2
18,3000598,1,34017,1,2,0
19,3000614,1,34025,3,3,3
20,3000616,1,36061,2,4,1
21,3000636,1,34041,4,3,3
22,3000678,1,34013,2,2,1
23,3000686,1,36047,1,4,0
24,3000688,1,34003,4,1,2
25,3000696,1,9001,2,4,1
26,3000711,1,34035,1,5,0
27,3000716,1,34041,2,1,2
28,3000727,1,34039,2,3,1
29,3000749,1,36085,4,4,2
30,3000751,1,36103,2,1,3
31,3000773,1,34037,2,5,4
32,3000783,1,34029,1,5,1
33,3000801,1,34025,4,3,4
34,3000809,1,34003,3,5,2
35,3000815,1,36059,1,4,1
36,3000827,1,9001,2,1,1
37,3000898,1,36059,2,4,0
38,3000938,1,34003,4,3,3
39,3001002,1,36027,9,2,0
40,3001008,1,9009,3,5,0
41,3001048,1,36079,9,4,2
42,3001059,1,36005,2,2,0
43,3001069,1,34039,4,5,2
44,3001073,1,34003,3,4,2
45,3001135,1,34013,4,4,2
46,3001161,1,34037,2,3,2
47,3001181,1,36061,9,3,1
48,3001190,1,36047,1,5,0
49,3001218,1,34029,2,1,2
50,3001293,1,36047,4,4,0
51,3001312,1,9009,9,2,2
52,3001332,1,34035,2,3,1
53,3001346,1,36087,3,4,2
54,3001413,1,36059,9,4,2
55,3001535,1,34003,4,2,1
56,3001559,1,34039,2,1,2
57,3001621,1,36079,1,5,0
58,3001622,1,36071,1,2,0
59,3001623,1,34031,4,4,2
60,3001633,1,34037,2,2,2
61,3001654,1,9009,2,4,1
62,3001670,1,36005,4,5,0
63,3001676,1,36085,4,2,3
64,3001732,1,34013,2,1,1
65,3001737,1,34027,4,1,3
66,3001754,1,9001,3,2,2
67,3001776,1,36119,4,2,2
68,3001818,1,36061,1,4,0
69,3001846,1,36085,1,5,1
70,3001865,1,34017,3,4,1
71,3001974,1,36087,4,1,2
72,3001982,1,34025,2,2,1
73,3001998,1,34003,3,3,2
74,3002021,1,34019,9,1,2
75,3002067,1,9009,2,4,2
76,3002068,1,9009,3,2,3
77,3002077,1,36061,1,5,1
78,3002080,1,36047,1,4,0
79,3002081,1,34025,2,1,2
80,3002167,1,36061,1,4,1
81,3002177,1,36119,4,1,2
82,3002183,1,36103,4,1,2
83,3002200,1,36027,4,4,4
84,3002228,1,36119,1,3,6
85,3002244,1,34021,4,5,2
86,3002280,1,34003,4,4,4
87,3002296,1,36085,9,5,0
88,3002372,1,36119,2,3,2
89,3002420,1,34025,4,4,3
90,3002445,1,36061,2,4,0
91,3002497,1,36061,4,4,1
92,3002564,1,36059,2,4,1
93,3002565,1,36081,1,4,0
94,3002585,1,34025,4,4,2
95,3002595,1,34003,2,4,2
96,3002707,1,9001,1,5,1
97,3002780,1,34025,3,3,1
98,3002789,1,36059,4,5,2
99,3002880,1,34037,3,5,2
100,3002976,1,34023,4,2,3
101,3003004,1,36103,4,2,2
102,3003034,1,36059,3,3,1
103,3003041,1,34003,2,3,0
104,3003043,1,36005,1,4,0
105,3003044,1,34027,4,4,5
106,3003061,1,36119,3,2,2
107,3003086,1,36119,3,4,4
108,3003097,1,34029,4,5,4
109,3003113,1,36081,9,4,1
110,3003130,1,34031,2,2,2
111,3003166,1,36061,9,1,0
112,3003178,1,36087,4,1,3
113,3003180,1,9001,2,3,1
114,3003209,1,34035,4,4,2
115,3003227,1,36103,2,3,3
116,3003250,1,9001,2,1,1
117,3003257,1,34003,4,3,2
118,3003264,1,34019,4,5,3
119,3003306,1,34019,4,4,2
120,3003338,1,36047,3,4,2
121,3003373,1,36061,1,4,1
122,3003394,1,36061,3,3,2
123,3003400,1,36005,1,5,1
124,3003410,1,34025,2,4,2
125,3003421,1,36059,4,1,3
126,3003434,1,36119,1,2,0
127,3003501,1,34025,4,2,1
128,3003526,1,34027,2,3,2
129,3003529,1,34013,4,4,2
130,3003546,1,34029,1,4,1
131,3003559,1,36119,3,4,3
132,3003572,1,36027,2,1,1
133,3003636,1,34021,4,4,2
134,3003680,1,36081,2,4,1
135,3003698,1,36027,4,4,2
136,3003726,1,34027,2,5,3
137,3003778,1,36085,4,4,1
138,3003780,1,36061,9,4,0
139,3003786,1,36087,4,3,2
140,3003835,1,36047,4,4,1
141,3003862,1,34041,4,4,2
142,3003866,1,34027,1,4,1
143,3003902,1,34017,1,4,0
144,3003910,1,34021,4,1,3
145,3003926,1,34003,2,4,1
146,3003940,1,36059,2,2,2
147,3004022,1,36047,1,3,0
148,3004077,1,34017,2,3,1
149,3004100,1,34027,4,4,2
150,3004103,1,36047,4,4,0
151,3004108,1,36119,4,2,2
152,3004127,1,34013,2,2,1
153,3004149,1,34013,4,4,4
154,3004205,1,36081,2,3,2
155,3004212,1,34013,2,3,0
156,3004262,1,34013,3,5,3
157,3004320,1,34039,3,5,4
158,3004323,1,34029,9,2,3
159,3004324,1,36061,1,2,0
160,3004377,1,36061,1,2,0
161,3004404,1,36081,4,1,2
162,3004432,1,34021,2,5,4
163,3004471,1,36047,1,4,0
164,3004475,1,34029,2,2,2
165,3004508,1,34027,3,4,2
166,3004548,1,36119,2,1,3
167,3004565,1,36027,9,4,3
168,3004575,1,34029,4,2,3
169,3004576,1,34025,4,3,2
170,3004596,1,36081,3,3,1
171,3004703,1,36061,2,5,0
172,3004717,1,34031,3,4,1
173,3004725,1,36071,2,2,2
174,3004738,1,34017,3,4,2
175,3004769,1,36059,4,4,1
176,3004771,1,34025,4,4,2
177,3004829,1,36059,4,5,4
178,3004834,1,36103,4,3,2
179,3004872,1,36103,9,4,2
180,3004875,1,34035,4,1,2
181,3004900,1,36119,2,4,2
182,3004918,1,36103,4,2,3
183,3004926,1,36085,4,3,2
184,3004970,1,36103,4,3,2
185,3005003,1,9009,2,5,5
186,3005009,1,9009,3,3,1
187,3005010,1,36061,2,4,0
188,3005033,1,36071,4,2,5
189,3005073,1,36079,9,5,3
190,3005084,1,36005,2,2,0
191,3005103,1,36061,2,2,0
192,3005112,1,36061,2,3,0
193,3005166,1,34023,4,3,3
194,3005201,1,36005,4,3,2
195,3005229,1,36061,4,2,0
196,3005265,1,34029,4,1,4
197,3005281,1,9001,4,5,2
198,3005320,1,36103,1,2,1
199,3005332,1,34021,4,4,2
200,3005350,1,36085,2,2,1
201,3005387,1,34003,2,3,2
202,3005463,1,34013,1,1,0
203,3005470,1,36119,4,2,1
204,3005498,1,36061,4,5,1
205,3005531,1,34013,4,1,3
206,3005593,1,36103,3,4,2
207,3005632,1,36027,2,4,5
208,3005742,1,36047,2,2,0
209,3005773,1,36059,4,5,2
210,3005843,1,36081,1,2,0
211,3005845,1,36103,3,2,2
212,3005862,1,36047,1,2,0
213,3005914,1,34029,3,4,2
214,3005964,1,34029,1,2,1
215,3005966,1,36005,1,2,0
216,3006004,1,34029,4,3,3
217,3006020,1,34039,1,4,0
218,3006085,1,34025,4,1,2
219,3006086,1,34039,4,5,1
220,3006087,1,34003,2,5,1
221,3006121,1,34037,4,5,2
222,3006140,1,36061,2,5,8
223,3006177,1,36103,9,2,2
224,3006188,1,34003,2,3,2
225,3006215,1,36059,4,4,2
226,3006223,1,34003,3,4,2
227,3006225,1,34029,1,2,0
228,3006250,1,36061,4,2,1
229,3006294,1,34023,4,5,2
230,3006309,1,34003,2,3,1
231,3006311,1,34003,2,1,1
232,3006332,1,36079,2,5,1
233,3006342,1,9009,1,4,1
234,3006364,1,34023,4,4,1
235,3006443,1,36005,2,1,2
236,3006475,1,34029,2,5,1
237,3006480,1,34023,3,2,1
238,3006493,1,36047,4,5,0
239,3006524,1,36087,3,4,4
240,3006550,1,34041,2,1,3
241,3006555,1,36027,3,4,3
242,3006570,1,34013,1,2,2
243,3006648,1,34027,2,4,1
244,3006705,1,36005,1,2,0
245,3006738,1,34029,2,1,1
246,3006746,1,36103,2,4,1
247,3006764,1,36081,1,2,0
248,3006797,1,36005,1,2,0
249,3006935,1,34017,2,4,1
250,3006946,1,9001,4,4,2
251,3006996,1,36119,2,1,1
252,3007042,1,36061,3,5,1
253,3007062,1,36047,9,2,0
254,3007098,1,36061,4,4,1
255,3007168,1,34017,4,5,2
256,3007219,1,9009,1,1,0
257,3007266,1,34035,4,3,1
258,3007270,1,34039,4,2,2
259,3007279,1,34025,4,5,3
260,3007287,1,36005,2,4,2
261,3007289,1,36005,1,3,0
262,3007290,1,36087,3,4,1
263,3007335,1,36119,4,5,1
264,3007360,1,36061,4,2,1
265,3007387,1,34025,9,2,2
266,3007423,1,36081,2,3,1
267,3007435,1,36061,4,5,0
268,3007477,1,36081,1,5,1
269,3007538,1,34017,4,5,1
270,3007562,1,36047,2,5,0
271,3007600,1,36081,1,4,2
272,3007686,1,36081,3,3,1
273,3007705,1,34003,3,4,2
274,3007713,1,34013,1,2,1
275,3007741,1,36081,4,3,2
276,3007760,1,36087,4,3,3
277,3007762,1,36061,4,1,0
278,3007779,1,34003,2,2,2
279,3007809,1,36061,4,1,0
280,3007843,1,34035,4,2,1
281,3007849,1,34017,2,4,2
282,3007853,1,36071,2,5,3
283,3007891,1,34023,4,2,3
284,3007897,1,9001,3,1,3
285,3007925,1,34017,3,4,2
286,3007985,1,36085,1,1,1
287,3008012,1,34035,3,4,1
288,3008057,1,34025,9,3,1
289,3008088,1,34025,2,4,2
290,3008126,1,34029,9,2,2
291,3008128,1,36119,2,4,1
292,3008137,1,34025,2,4,2
293,3008139,1,36081,2,4,0
294,3008143,1,36119,2,2,1
295,3008227,1,34029,2,4,1
296,3008255,1,34003,4,2,3
297,3008271,1,34027,9,5,2
298,3008325,1,34027,4,3,2
299,3008328,1,34039,2,5,1
300,3008407,1,36047,1,5,0
301,3008410,1,34029,3,4,2
302,3008419,1,36119,2,5,2
303,3008430,1,36085,1,5,1
304,3008434,1,36119,9,1,2
305,3008456,1,34023,2,3,1
306,3008458,1,36103,2,1,2
307,3008527,1,36085,2,5,2
308,3008548,1,36061,1,3,0
309,3008555,1,36059,3,5,1
310,3008565,1,34039,9,4,2
311,3008573,1,36061,2,5,0
312,3008633,1,36005,1,5,0
313,3008637,1,9001,2,5,2
314,3008683,1,34035,2,1,2
315,3008688,1,36119,4,5,3
316,3008725,1,34019,4,4,3
317,3008748,1,34025,3,1,2
318,3008787,1,36027,2,5,1
319,3008806,1,34031,9,1,2
320,3008817,1,34031,4,4,8
321,3008827,1,34041,1,5,0
322,3008900,1,9001,4,2,4
323,3008932,1,36079,4,4,3
324,3008945,1,36081,3,4,4
325,3008948,1,9001,2,4,1
326,3008954,1,36119,4,3,1
327,3008963,1,34013,4,3,2
328,3008972,1,34023,2,5,1
329,3009053,1,34031,2,5,2
330,3009105,1,34023,4,5,2
331,3009129,1,34035,9,3,1
332,3009172,1,36119,3,1,2
333,3009255,1,36061,3,2,0
334,3009259,1,34017,4,2,0
335,3009319,1,34003,1,5,0
336,3009338,1,34025,4,3,2
337,3009429,1,34027,4,2,3
338,3009434,1,34023,4,4,2
339,3009487,1,34017,1,1,1
340,3009506,1,36061,4,1,1
341,3009508,1,34023,2,1,0
342,3009522,1,36081,9,3,2
343,3009583,1,9009,4,4,2
344,3009587,1,34019,4,2,5
345,3009609,1,34037,2,5,2
346,3009626,1,36081,3,3,0
347,3009646,1,34029,2,4,1
348,3009681,1,36027,1,4,0
349,3009715,1,36079,4,1,3
350,3009733,1,34019,9,4,2
351,3009768,1,36103,1,1,1
352,3009853,1,34029,1,3,0
353,3009871,1,34041,4,1,3
354,3009885,1,34037,4,5,1
355,3009898,1,34003,4,2,2
356,3009918,1,9009,2,2,1
357,3009953,1,36079,2,5,1
358,3009970,1,34003,2,5,0
359,3010057,1,36103,4,2,2
360,3010101,1,36005,2,3,2
361,3010116,1,34039,4,5,2
362,3010149,1,36059,4,4,3
363,3010186,1,34037,3,3,1
364,3010188,1,36061,1,4,0
365,3010200,1,36047,9,4,0
366,3010282,1,36119,4,3,3
367,3010293,1,36079,2,2,2
368,3010307,1,36079,4,1,2
369,3010327,1,34017,1,1,0
370,3010342,1,34039,9,2,1
371,3010431,1,36079,4,2,5
372,3010461,1,36059,2,4,1
373,3010487,1,9001,2,4,4
374,3010587,1,36027,2,4,3
375,3010589,1,34027,4,4,2
376,3010603,1,36071,1,1,1
377,3010619,1,36079,4,4,2
378,3010656,1,36059,4,2,1
379,3010678,1,36103,1,4,2
380,3010729,1,36081,4,1,3
381,3010734,1,36103,9,1,2
382,3010782,1,36119,3,2,4
383,3010786,1,9009,4,3,2
384,3010832,1,34013,1,5,0
385,3010897,1,36085,4,4,3
386,3010947,1,34017,2,3,1
387,3010959,1,36027,4,1,3
388,3010975,1,34013,2,5,1
389,3011030,1,36059,2,4,1
390,3011072,1,34013,1,2,1
391,3011142,1,36103,4,4,2
392,3011166,1,36085,3,5,2
393,3011172,1,36081,1,3,0
394,3011208,1,34013,9,4,1
395,3011215,1,34003,4,2,3
396,3011256,1,34003,4,2,3
397,3011299,1,9009,1,2,0
398,3011309,1,36085,2,3,0
399,3011317,1,36005,1,2,0
400,3011325,1,34013,9,2,1
401,3011361,1,34003,9,1,1
402,3011484,1,36087,2,4,2
403,3011524,1,34019,3,4,4
404,3011543,1,34025,2,5,3
405,3011560,1,9009,2,2,1
406,3011609,1,36059,4,4,2
407,3011633,1,34029,2,2,3
408,3011686,1,34039,3,2,1
409,3011711,1,34013,4,1,2
410,3011746,1,34025,3,2,2
411,3011777,1,36119,4,3,1
412,3011785,1,36087,4,3,2
413,3011818,1,34037,3,5,3
414,3011824,1,36119,9,3,2
415,3011825,1,36027,2,4,4
416,3011942,1,36061,1,1,1
417,3011948,1,34003,2,5,1
418,3011980,1,34013,2,1,1
419,3011992,1,36047,1,3,1
420,3012012,1,34013,2,4,0
421,3012024,1,36061,4,2,2
422,3012062,1,34027,4,1,3
423,3012066,1,36061,4,2,1
424,3012145,1,36061,1,1,0
425,3012157,1,34025,2,5,2
426,3012170,1,36081,2,2,1
427,3012171,1,36087,4,3,3
428,3012175,1,34003,4,5,2
429,3012181,1,34027,1,3,2
430,3012188,1,34017,4,2,1
431,3012195,1,34003,4,2,1
432,3012204,1,34019,2,4,1
433,3012334,1,36079,2,2,1
434,3012373,1,34041,1,2,1
435,3012390,1,34003,1,2,0
436,3012442,1,34013,9,3,2
437,3012443,1,34019,2,4,2
438,3012523,1,34019,2,4,1
439,3012524,1,36103,3,3,2
440,3012530,1,34035,3,3,2
441,3012531,1,34023,2,2,3
442,3012547,1,36081,4,2,1
443,3012558,1,34029,1,4,0
444,3012581,1,34003,9,2,2
445,3012647,1,34027,4,2,3
446,3012657,1,36061,3,5,1
447,3012724,1,36079,4,1,4
448,3012747,1,36061,4,4,0
449,3012753,1,36047,1,5,1
450,3012754,1,36119,4,3,2
451,3012770,1,36087,2,2,0
452,3012782,1,36061,4,1,0
453,3012811,1,34027,2,4,0
454,3012834,1,36047,4,1,2
455,3012840,1,34035,4,2,2
456,3012845,1,36005,3,2,1
457,3012856,1,36059,9,5,0
458,3012892,1,34017,3,1,1
459,3012919,1,36061,4,1,0
460,3012995,1,36059,1,1,0
461,3013006,1,36071,4,3,2
462,3013030,1,36061,4,3,0
463,3013033,1,36047,4,4,2
464,3013089,1,36085,9,5,2
465,3013113,1,34027,9,1,2
466,3013134,1,36005,1,3,0
467,3013157,1,9009,2,5,3
468,3013169,1,36103,4,4,1
469,3013173,1,36061,4,4,0
470,3013174,1,34029,4,2,2
471,3013206,1,34027,9,3,2
472,3013210,1,36047,1,1,0
473,3013350,1,34023,2,4,3
474,3013374,1,34003,4,5,2
475,3013379,1,34025,4,3,2
476,3013398,1,34013,2,2,1
477,3013444,1,36119,4,4,0
478,3013449,1,34019,2,1,3
479,3013530,1,34013,2,5,1
480,3013555,1,36071,4,5,2
481,3013561,1,34031,4,3,2
482,3013562,1,36079,4,5,1
483,3013579,1,36087,3,3,3
484,3013715,1,36081,4,1,0
485,3013740,1,34003,4,3,4
486,3013741,1,9001,2,2,1
487,3013794,1,36059,1,2,1
488,3013846,1,34023,2,3,1
489,3013852,1,36085,2,2,2
490,3013865,1,34019,4,3,5
491,3013892,1,36079,2,5,3
492,3013895,1,36061,9,2,0
493,3013905,1,36005,2,2,1
494,3013917,1,9009,3,2,2
495,3013994,1,34017,3,2,0
496,3014038,1,34025,9,4,2
497,3014059,1,36079,2,3,2
498,3014077,1,36119,2,2,2
499,3014126,1,34037,2,2,6
500,3014178,1,36103,2,5,3
501,3014239,1,36119,2,4,1
502,3014293,1,36103,4,1,4
503,3014317,1,36085,1,5,0
504,3014333,1,36059,2,1,1
505,3014387,1,34003,3,2,1
506,3014388,1,34027,4,1,3
507,3014402,1,36103,4,4,2
508,3014422,1,36027,3,1,2
509,3014513,1,34041,2,4,3
510,3014528,1,36047,2,1,1
511,3014558,1,34013,2,2,1
512,3014576,1,34003,4,2,3
513,3014599,1,34019,4,5,3
514,3014608,1,36087,4,5,2
515,3014633,1,36061,2,4,0
516,3014644,1,34039,2,2,0
517,3014688,1,34023,4,2,2
518,3014719,1,34029,2,2,2
519,3014744,1,36081,2,1,2
520,3014767,1,9009,2,5,2
521,3014836,1,34029,2,2,1
522,3014853,1,34041,3,2,2
523,3014929,1,36119,4,2,1
524,3014954,1,36005,9,5,0
525,3015002,1,36061,2,2,0
526,3015011,1,34003,4,4,2
527,3015025,1,36059,4,1,1
528,3015073,1,36081,4,5,2
529,3015170,1,36061,4,2,1
530,3015230,1,36059,9,2,2
531,3015231,1,34027,4,2,3
532,3015232,1,9001,3,5,1
533,3015246,1,9009,1,4,0
534,3015253,1,34021,9,5,2
535,3015257,1,34029,1,1,1
536,3015318,1,34039,2,5,0
537,3015383,1,36061,1,4,0
538,3015391,1,34019,3,5,1
539,3015412,1,34039,4,5,2
540,3015431,1,34039,4,1,3
541,3015434,1,34037,1,2,2
542,3015450,1,36119,9,5,2
543,3015456,1,9001,4,1,2
544,3015550,1,34019,1,3,1
545,3015555,1,36061,3,4,0
546,3015564,1,36027,2,3,1
547,3015584,1,34039,1,5,0
548,3015625,1,34003,3,5,2
549,3015638,1,34025,2,1,3
550,3015672,1,34019,4,1,2
551,3015677,1,34041,1,5,1
552,3015696,1,36061,4,1,2
553,3015728,1,36081,1,5,0
554,3015785,1,9009,4,2,1
555,3015792,1,36103,2,3,1
556,3015800,1,36005,2,2,0
557,3015837,1,34041,9,5,2
558,3015865,1,36085,2,1,1
559,3015890,1,36087,2,3,1
560,3015913,1,36103,2,3,1
561,3015926,1,36079,3,3,6
562,3015929,1,34017,4,3,1
563,3015959,1,36047,1,2,1
564,3015975,1,34003,2,4,2
565,3016054,1,36119,4,2,3
566,3016071,1,34029,1,3,2
567,3016079,1,36103,2,2,1
568,3016080,1,34013,4,2,1
569,3016107,1,36005,1,1,1
570,3016110,1,34041,4,1,2
571,3016206,1,36061,4,1,0
572,3016293,1,9009,9,2,2
573,3016309,1,36103,1,2,1
574,3016366,1,34035,4,1,2
575,3016398,1,36085,2,4,1
576,3016440,1,36087,4,2,2
577,3016489,1,34027,1,1,2
578,3016497,1,34029,4,2,2
579,3016658,1,34031,2,1,0
580,3016666,1,36061,2,5,0
581,3016681,1,36047,3,2,0
