ID,SAMPN,PERNO,MODE,GENDER,AGE,INCOME,CAR,LIC,TRIPDIST_R1,TRPDUR_R,OTAZ,DTAZ,TOD_R
1,3000056,1,1,2,4,3,1,1,2,1,2626,2627,1
2,3000056,1,1,2,4,3,1,1,2,1,2627,2626,1
3,3000056,1,1,2,4,3,1,1,2,1,2626,2628,3
4,3000056,1,1,2,4,3,1,1,2,1,2628,2626,3
5,3000056,3,1,1,2,3,1,1,1,1,2626,2627,2
6,3000056,3,1,1,2,3,1,1,1,1,2627,2626,3
7,3000056,4,1,1,1,3,1,1,1,1,2626,2627,2
8,3000056,4,1,1,1,3,1,1,1,1,2627,2626,3
9,3000056,5,1,2,1,3,1,NA,2,1,2626,2628,3
10,3000056,5,1,2,1,3,1,NA,2,1,2628,2626,3
11,3000056,6,1,2,1,3,1,NA,2,1,2626,2628,3
12,3000056,6,1,2,1,3,1,NA,2,1,2628,2626,3
13,3000146,1,1,2,5,3,1,1,3,3,3167,3166,3
14,3000146,1,1,2,5,3,1,1,2,1,3166,3155,3
15,3000146,1,1,2,5,3,1,1,2,2,3155,3172,3
16,3000157,1,1,2,5,1,2,2,1,2,2852,2857,2
17,3000157,1,1,2,5,1,2,2,1,2,2857,2852,2
18,3000157,1,3,2,5,1,2,2,2,4,2852,2889,2
19,3000157,1,3,2,5,1,2,2,2,4,2889,2852,3
20,3000250,1,1,2,5,2,1,1,1,1,1799,1799,2
21,3000250,1,1,2,5,2,1,1,1,1,1799,1799,2
22,3000250,1,1,2,5,2,1,1,1,1,1799,1799,2
23,3000250,1,5,2,5,2,1,1,1,1,1799,1797,3
24,3000250,1,5,2,5,2,1,1,1,1,1797,1799,4
25,3000250,1,1,2,5,2,1,1,1,1,1799,1799,4
26,3000275,1,1,2,6,2,1,1,2,2,1733,1735,2
27,3000275,1,1,2,6,2,1,1,2,2,1735,1733,2
28,3000275,2,1,1,6,2,1,1,2,2,1733,1735,2
29,3000275,2,1,1,6,2,1,1,2,2,1735,1733,2
30,3000403,1,1,1,6,1,2,1,2,3,377,425,1
31,3000403,1,1,1,6,1,2,1,2,3,425,377,2
32,3000407,1,1,2,5,4,1,1,2,1,3581,3581,1
33,3000448,2,1,1,2,4,1,1,4,3,3216,3218,3
34,3000448,3,1,1,4,4,1,1,2,1,3218,3218,3
35,3000448,3,1,1,4,4,1,1,2,2,3218,3218,3
36,3000486,1,1,1,6,4,1,1,2,2,2160,2246,1
37,3000486,1,1,1,6,4,1,1,2,3,2246,2160,2
38,3000486,1,1,1,6,4,1,1,3,3,2160,2143,2
39,3000486,1,1,1,6,4,1,1,3,3,2143,2160,3
40,3000552,1,1,2,6,2,1,1,1,1,3289,3289,1
41,3000552,1,1,2,6,2,1,1,1,1,3289,3289,1
42,3000552,1,1,2,6,2,1,1,2,1,3289,3289,2
43,3000552,1,1,2,6,2,1,1,3,1,3289,3289,2
44,3000552,1,1,2,6,2,1,1,3,2,3289,3289,2
