ID,SAMPN,PERNO,MODE,PURPOSE,GENDER,AGE,INCOME,CAR,LIC,TRIPDIST,TRPDUR,OTAZ,DTAZ,TOD_R
1,3000056,1,1,1,2,4,3,1,1,2,1,2626,2627,2
2,3000056,1,1,1,2,4,3,1,1,2,1,2627,2626,2
3,3000056,2,1,1,1,4,3,1,1,6,5,2626,2676,1
4,3000056,2,1,1,1,4,3,1,1,6,5,2676,2626,3
5,3000056,3,1,1,1,2,3,1,1,3,2,2626,2640,3
6,3000056,3,1,1,1,2,3,1,1,3,2,2640,2626,4
7,3000056,4,1,1,1,1,3,1,1,2,1,2626,2627,1
8,3000056,4,1,1,1,1,3,1,1,2,1,2627,2626,2
9,3000056,5,1,1,2,1,3,1,NA,2,1,2626,2627,1
10,3000056,5,1,1,2,1,3,1,NA,2,1,2627,2626,2
11,3000056,6,3,1,2,1,3,1,NA,2,2,2626,2628,1
12,3000056,6,3,1,2,1,3,1,NA,2,2,2628,2626,2
13,3000128,1,1,1,2,4,2,1,1,3,2,2438,2433,1
14,3000128,1,1,1,2,4,2,1,1,3,2,2433,2438,3
15,3000128,3,1,1,2,2,2,1,1,5,4,2438,2397,1
16,3000128,3,1,1,2,2,2,1,1,5,4,2397,2438,3
17,3000128,4,3,1,2,1,2,1,NA,2,3,2438,2439,1
18,3000128,4,3,1,2,1,2,1,NA,2,2,2439,2438,2
19,3000128,5,3,1,2,1,2,1,NA,2,3,2438,2439,1
20,3000128,5,3,1,2,1,2,1,NA,2,2,2439,2438,2
21,3000146,1,1,1,2,5,3,1,1,5,3,3172,2738,1
22,3000146,1,1,1,2,5,3,1,1,5,3,2738,3167,2
23,3000407,1,1,1,2,5,4,1,1,1,1,3581,3580,1
24,3000407,1,1,1,2,5,4,1,1,2,2,3580,3581,3
25,3000407,2,1,1,1,5,4,1,1,3,3,3581,3221,1
26,3000407,2,1,1,1,5,4,1,1,3,3,3221,3581,3
27,3000448,1,1,1,2,4,4,1,1,2,2,3218,3218,1
28,3000448,1,1,1,2,4,4,1,1,2,2,3218,3218,3
29,3000448,2,1,1,1,2,4,1,1,6,4,3383,3190,1
30,3000448,2,1,1,1,2,4,1,1,4,4,3190,3216,2
31,3000448,3,2,1,1,4,4,1,1,6,5,3218,96,1
32,3000448,3,2,1,1,4,4,1,1,6,5,96,3218,3
33,3000486,2,1,1,2,5,4,1,1,3,3,2160,2251,1
34,3000486,2,1,1,2,5,4,1,1,3,2,2251,2160,3
35,3000568,1,1,1,1,3,2,1,1,1,3,2637,2637,1
36,3000568,1,1,1,1,3,2,1,1,1,4,2637,2637,1
37,3000568,3,1,1,2,1,2,1,NA,2,2,2637,2637,1
38,3000568,3,1,1,2,1,2,1,NA,2,2,2637,2637,2
39,3000614,1,1,1,1,5,3,1,1,2,1,3281,3265,1
40,3000614,1,1,1,1,5,3,1,1,2,2,3265,3265,2
41,3000614,1,1,1,1,5,3,1,1,2,3,3265,3265,3
42,3000614,1,1,1,1,5,3,1,1,2,2,3265,3281,3
43,3000614,2,1,1,2,5,3,1,1,2,2,3281,3265,2
44,3000614,2,1,1,2,5,3,1,1,1,4,3265,3265,2
45,3000614,2,1,1,2,5,3,1,1,2,1,3265,3281,4
46,3000614,3,1,1,2,2,3,1,1,3,2,3281,3230,2
47,3000614,3,1,1,2,2,3,1,1,3,2,3230,3281,4
48,3000636,1,1,1,2,4,4,1,1,3,2,3356,3356,1
49,3000636,1,1,1,2,4,4,1,1,3,2,3356,3356,3
50,3000636,2,3,1,2,2,4,1,1,6,4,3341,98,1
51,3000636,2,3,1,2,2,4,1,1,6,5,98,3356,3
52,3000678,2,5,1,2,2,2,1,1,1,2,3014,3015,1
53,3000688,1,2,1,2,6,4,1,1,4,4,1393,1479,1
54,3000688,1,2,1,2,6,4,1,1,6,4,1479,2687,2
55,3000696,1,1,1,2,5,2,1,1,4,2,2594,3430,1
56,3000696,1,1,1,2,5,2,1,1,4,2,3430,2594,2
57,3000696,1,1,1,2,5,2,1,1,4,3,2594,3430,2
58,3000696,1,1,1,2,5,2,1,1,4,2,3430,2594,3
59,3000727,1,1,1,2,4,2,1,1,2,2,3123,3133,1
60,3000727,1,1,1,2,4,2,1,1,2,2,3133,3123,2
61,3000727,2,5,1,1,1,2,1,NA,1,2,3123,3123,1
62,3000727,2,5,1,1,1,2,1,NA,1,2,3123,3123,2
63,3000727,3,5,1,1,1,2,1,NA,1,1,3123,3123,1
64,3000727,3,5,1,1,1,2,1,NA,1,2,3123,3123,2
65,3000749,2,2,1,2,5,4,1,1,5,5,1607,12,1
66,3000749,2,2,1,2,5,4,1,1,5,4,12,1607,3
67,3000751,1,1,1,2,4,2,1,1,6,4,1989,528,2
68,3000751,2,1,1,1,4,2,1,1,4,3,1989,1891,1
